Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 881.15 0.496981 30.8052 0.00478976 2.67879 0.0285832 0.425341 0.216326 25.7183 0.112956 0.516081 7.33867 0.15384 0 32.0011
10000.00 880.15 0.496093 30.7307 0.00467986 2.65604 0.0282147 0.426046 0.212795 25.7644 0.113137 0.513481 7.33979 0.152322 0 32.0584
10000.00 879.15 0.495213 30.6567 0.00457239 2.63342 0.0278493 0.426748 0.209307 25.8102 0.113317 0.510898 7.34089 0.150819 0 32.1153
10000.00 878.15 0.494343 30.5833 0.0044673 2.61094 0.0274869 0.427448 0.205861 25.8556 0.113497 0.50833 7.34195 0.149332 0 32.1718
10000.00 877.15 0.493481 30.5103 0.00436454 2.58859 0.0271276 0.428146 0.202457 25.9007 0.113676 0.505779 7.34298 0.147859 0 32.228
10000.00 876.15 0.492628 30.4378 0.00426405 2.56636 0.0267714 0.428841 0.199095 25.9456 0.113855 0.503243 7.34398 0.146402 0 32.2838
10000.00 875.15 0.491784 30.3658 0.0041658 2.54427 0.0264183 0.429534 0.195774 25.9901 0.114034 0.500724 7.34496 0.144959 0 32.3392
10000.00 874.15 0.490949 30.2944 0.00406973 2.52231 0.0260682 0.430224 0.192494 26.0343 0.114212 0.49822 7.3459 0.14353 0 32.3943
10000.00 873.15 0.490121 30.2234 0.00397579 2.50048 0.0257211 0.430912 0.189256 26.0783 0.11439 0.495731 7.34682 0.142116 0 32.4489
10000.00 872.15 0.489302 30.1529 0.00388395 2.47878 0.0253771 0.431598 0.186058 26.1219 0.114567 0.493258 7.34771 0.140716 0 32.5032
